,slurm_index,HUC4,HUC2,toBasin,level,PIXC
105,105,1705,17,1706,1,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_289_230R_20240406T220943_20240406T220955_PIC0_01.nc
106,106,1702,17,1707,3,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_289_230R_20240406T220943_20240406T220955_PIC0_01.nc
107,107,1707,17,1708,4,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_289_230R_20240406T220943_20240406T220955_PIC0_01.nc
108,108,1710,17,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_289_230R_20240406T220943_20240406T220955_PIC0_01.nc
109,109,1711,17,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_289_230R_20240406T220943_20240406T220955_PIC0_01.nc
110,110,1712,17,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_289_230R_20240406T220943_20240406T220955_PIC0_01.nc
111,111,1801,18,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_261_218L_20240405T220712_20240405T220723_PIC0_01.nc
112,112,1802,18,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_261_218L_20240405T220712_20240405T220723_PIC0_01.nc
113,113,1803,18,1804,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_261_218L_20240405T220712_20240405T220723_PIC0_01.nc
114,114,1805,18,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_261_218L_20240405T220712_20240405T220723_PIC0_01.nc
115,115,1806,18,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_261_218L_20240405T220712_20240405T220723_PIC0_01.nc
116,116,1807,18,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_261_218L_20240405T220712_20240405T220723_PIC0_01.nc
117,117,1808,18,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_261_218L_20240405T220712_20240405T220723_PIC0_01.nc
118,118,1809,18,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_261_218L_20240405T220712_20240405T220723_PIC0_01.nc
119,119,1810,18,,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_261_218L_20240405T220712_20240405T220723_PIC0_01.nc
120,120,0103,01,0105,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_313_233L_20240407T184457_20240407T184508_PIC0_01.nc
121,121,0203,02,,1,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_014_076_086R_20240420T035233_20240420T035244_PIC0_01.nc
122,122,0207,02,0208,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_014_076_086R_20240420T035233_20240420T035244_PIC0_01.nc
123,123,0316,03,,1,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_382_093R_20240410T053125_20240410T053136_PIC0_01.nc
124,124,0402,04,0418,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_175_237L_20240402T202556_20240402T202607_PIC0_01.nc
125,125,0404,04,0419,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_175_237L_20240402T202556_20240402T202607_PIC0_01.nc
126,126,0420,04,0424,2,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_175_237L_20240402T202556_20240402T202607_PIC0_01.nc
127,127,0410,04,0426,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_175_237L_20240402T202556_20240402T202607_PIC0_01.nc
128,128,0413,04,0428,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_175_237L_20240402T202556_20240402T202607_PIC0_01.nc
129,129,0429,04,,8,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_175_237L_20240402T202556_20240402T202607_PIC0_01.nc
130,130,0502,05,0503,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_425_224L_20240411T184532_20240411T184543_PIC0_01.nc
131,131,0505,05,0509,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_425_224L_20240411T184532_20240411T184543_PIC0_01.nc
132,132,0510,05,0514,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_425_224L_20240411T184532_20240411T184543_PIC0_01.nc
133,133,0703,07,0704,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_188_076L_20240403T070751_20240403T070802_PIC0_01.nc
134,134,0707,07,0706,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_188_076L_20240403T070751_20240403T070802_PIC0_01.nc
135,135,0709,07,0708,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_188_076L_20240403T070751_20240403T070802_PIC0_01.nc
136,136,0710,07,0711,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_188_076L_20240403T070751_20240403T070802_PIC0_01.nc
137,137,0714,08,0801,12,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_244_101R_20240405T071302_20240405T071314_PIC0_01.nc
138,138,1101,08,0802,0,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_244_101R_20240405T071302_20240405T071314_PIC0_01.nc
139,139,1114,08,0804,2,../narrow_rivers_PIXC_data/PIXC_v2_0_for_unit_test/SWOT_L2_HR_PIXC_013_244_101R_20240405T071302_20240405T071314_PIC0_01.nc
