,Name,huc4
90,065_234L,1013
90,065_234L,1016
91,065_234R,1016
92,065_235L,1013
92,065_235L,1016
93,065_235R,1016
94,065_236L,1013
94,065_236L,1016
95,065_236R,1016
95,065_236R,0902
96,065_237L,1013
96,065_237L,1016
96,065_237L,0902
97,065_237R,1016
97,065_237R,0902
98,065_238L,1016
98,065_238L,0902
99,065_238R,0902
100,065_239L,0902
101,065_239R,0902
102,065_240L,0902
103,065_240R,0902
104,065_241L,0902
105,065_241R,0902
106,065_242L,0902
107,065_242R,0902
0,067_237L,1710
1,067_237R,1710
1,067_237R,1708
2,067_238L,1710
3,067_238R,1710
3,067_238R,1711
4,067_239L,1710
4,067_239L,1711
5,067_239R,1710
5,067_239R,1711
6,067_240L,1711
7,067_240R,1711
8,067_241L,1711
9,067_241R,1711
88,076_071L,0421
89,076_071R,0420
89,076_071R,0421
90,076_072L,0421
91,076_072R,0420
91,076_072R,0421
92,076_073L,0421
93,076_073R,0420
93,076_073R,0422
93,076_073R,0421
94,076_074L,0422
94,076_074L,0421
95,076_074R,0422
95,076_074R,0421
96,076_075L,0422
97,076_075R,0422
98,076_076L,0422
99,076_076R,0425
99,076_076R,0423
99,076_076R,0422
100,076_077L,0427
100,076_077L,0422
101,076_077R,0425
101,076_077R,0427
101,076_077R,0423
101,076_077R,0422
102,076_078L,0413
102,076_078L,0427
103,076_078R,0425
103,076_078R,0427
104,076_079L,0412
104,076_079L,0413
104,076_079L,0427
105,076_079R,0425
105,076_079R,0427
106,076_080L,0501
106,076_080L,0412
106,076_080L,0413
107,076_080R,0501
107,076_080R,0412
108,076_081L,0501
108,076_081L,0205
109,076_081R,0501
110,076_082L,0501
110,076_082L,0205
111,076_082R,0501
111,076_082R,0205
112,076_083L,0205
113,076_083R,0501
113,076_083R,0205
114,076_084L,0207
114,076_084L,0205
115,076_084R,0207
115,076_084R,0502
115,076_084R,0501
115,076_084R,0205
116,076_085L,0207
116,076_085L,0205
117,076_085R,0207
117,076_085R,0502
117,076_085R,0205
118,076_086L,0208
118,076_086L,0207
119,076_086R,0208
119,076_086R,0207
120,076_087L,0208
120,076_087L,0207
121,076_087R,0208
121,076_087R,0207
122,076_088L,0208
122,076_088L,0207
123,076_088R,0208
124,076_089L,0301
124,076_089L,0208
125,076_089R,0301
125,076_089R,0208
126,076_090L,0301
126,076_090L,0208
127,076_090R,0302
127,076_090R,0301
128,076_091L,0301
129,076_091R,0302
129,076_091R,0301
130,076_092L,0302
130,076_092L,0301
131,076_092R,0302
131,076_092R,0301
132,076_093L,0302
133,076_093R,0303
133,076_093R,0302
134,076_094L,0302
135,076_094R,0303
135,076_094R,0302
86,078_067L,1005
87,078_067R,1005
88,078_068L,1005
89,078_068R,1005
90,078_069L,1005
91,078_069R,1005
92,078_070L,1004
92,078_070L,1006
92,078_070L,1005
93,078_070R,1004
93,078_070R,1005
94,078_071L,1004
94,078_071L,1006
95,078_071R,1010
95,078_071R,1004
96,078_072L,1010
96,078_072L,1004
96,078_072L,1006
